index,name,director
0,Snow White and the Seven Dwarfs,David Hand
1,Pinocchio,Ben Sharpsteen
2,Fantasia,full credits
3,Dumbo,Ben Sharpsteen
4,Bambi,David Hand
5,Saludos Amigos,Jack Kinney
6,The Three Caballeros,Norman Ferguson
7,Make Mine Music,Jack Kinney
8,Fun and Fancy Free,Jack Kinney
9,Melody Time,Clyde Geronimi
10,The Adventures of Ichabod and Mr. Toad,Jack Kinney
11,Cinderella,Wilfred Jackson
12,Alice in Wonderland,Clyde Geronimi
13,Peter Pan,Hamilton Luske
14,Lady and the Tramp,Hamilton Luske
15,Sleeping Beauty,Clyde Geronimi
16,101 Dalmatians,Wolfgang Reitherman
17,The Sword in the Stone,Wolfgang Reitherman
18,The Jungle Book,Wolfgang Reitherman
19,The Aristocats,Wolfgang Reitherman
20,Robin Hood,Wolfgang Reitherman
21,The Many Adventures of Winnie the Pooh,Wolfgang Reitherman
22,The Rescuers,Wolfgang Reitherman
23,The Fox and the Hound,Art Stevens
24,The Black Cauldron,Ted Berman
25,The Great Mouse Detective,Ron Clements
26,Oliver & Company,George Scribner
27,The Little Mermaid,Ron Clements
28,The Rescuers Down Under,Mike Gabriel
29,Beauty and the Beast,Gary Trousdale
30,Aladdin,Ron Clements
31,The Lion King,Roger Allers
32,Pocahontas,Mike Gabriel
33,The Hunchback of Notre Dame,Gary Trousdale
34,Hercules,Ron Clements
35,Mulan,Barry Cook
36,Tarzan,Chris Buck
37,Fantasia 2000,full credits
38,Dinosaur,Ralph Zondag
39,The Emperor's New Groove,Mark Dindal
40,Atlantis: The Lost Empire,Gary Trousdale
41,Lilo & Stitch,Chris Sanders
42,Treasure Planet,Ron Clements
43,Brother Bear,Robert Walker
44,Home on the Range,Will Finn
45,Chicken Little,Mark Dindal
46,Meet the Robinsons,Stephen J. Anderson
47,Bolt,Chris Williams
48,The Princess and the Frog,Ron Clements
49,Tangled,Nathan Greno
50,Winnie the Pooh,Stephen J. Anderson
51,Wreck-It Ralph,Rich Moore
52,Frozen,Chris Buck
53,Big Hero 6,Don Hall
54,Zootopia,Byron Howard
55,Moana,Ron Clements
