pickup,passengers,distance,fare,tip,tolls,total,weekday
2019-02-28,1,0.9,5.0,0.0,0.0,6.3,3
2019-03-01,370,640.29,12.228091286307054,442.46999999999997,60.339999999999996,4213.83,4
2019-03-02,310,548.7,11.909090909090908,333.97,28.799999999999997,3319.02,5
2019-03-03,264,554.04,12.946094674556212,307.47,34.56,3027.32,6
2019-03-04,267,583.8100000000001,13.659298245614034,334.98,63.36,3269.08,0
2019-03-05,382,716.63,13.763026315789473,431.18,80.63,4377.38,1
2019-03-06,390,716.86,12.722568093385213,529.36,86.39999999999999,4673.61,2
2019-03-07,331,637.01,13.296513761467889,437.24,40.32,4115.7,3
2019-03-08,332,728.39,13.482978723404255,481.58,103.67999999999999,4524.21,4
2019-03-09,325,662.99,13.436519607843138,371.79,51.36,3785.8,5
2019-03-10,301,520.4,12.272540540540541,336.16,63.36,3198.69,6
2019-03-11,316,659.87,13.797846889952153,400.9,74.66,4021.26,0
2019-03-12,320,554.28,12.275642201834863,445.93,58.58,3875.8,1
2019-03-13,355,813.19,14.23700819672131,534.5600000000001,85.92,4868.06,2
2019-03-14,358,746.16,12.893807692307691,507.38,54.48,4742.55,3
2019-03-15,299,664.88,14.25776119402985,447.6,85.38,4030.29,4
2019-03-16,349,656.24,12.614909090909093,396.46,51.839999999999996,3836.58,5
2019-03-17,278,624.25,13.831460674157304,376.66,101.53999999999999,3469.5,6
2019-03-18,274,552.1800000000001,13.017341040462428,384.25,74.88,3258.78,0
2019-03-19,292,660.39,14.310945273631841,390.71,61.86,3963.92,1
2019-03-20,382,771.03,13.872017167381973,466.81,92.16,4522.95,2
2019-03-21,320,723.31,13.680000000000001,517.2,91.14999999999999,4355.08,3
2019-03-22,348,663.05,13.138165938864628,426.04,95.78,4245.36,4
2019-03-23,340,511.42,11.427894736842104,308.45,40.1,3355.98,5
2019-03-24,252,433.91,12.239731543624162,290.64,57.599999999999994,2616.81,6
2019-03-25,234,495.71,12.907032258064516,315.21,57.599999999999994,2877.55,0
2019-03-26,266,545.43,12.951011235955058,383.31,92.16,3366.2000000000003,1
2019-03-27,352,737.95,13.42948275862069,485.63,86.39999999999999,4417.17,2
2019-03-28,327,612.94,13.451560975609757,404.45,69.12,3886.44,3
2019-03-29,312,556.73,12.645837320574163,410.13,34.56,3790.52,4
2019-03-30,359,668.1,13.01674418604651,487.97,78.62,4004.39,5
2019-03-31,296,496.32,11.660053475935827,345.83,35.28,3108.84,6
