,data,valor
0,01/06/1986,1.27
1,01/07/1986,1.95
2,01/08/1986,2.57
3,01/09/1986,2.94
4,01/10/1986,1.96
5,01/11/1986,2.37
6,01/12/1986,5.47
7,01/01/1987,11.0
8,01/02/1987,19.61
9,01/03/1987,11.95
10,01/04/1987,15.3
11,01/05/1987,24.63
12,01/06/1987,18.02
13,01/07/1987,8.91
14,01/08/1987,8.09
15,01/09/1987,7.99
16,01/10/1987,9.45
17,01/11/1987,12.92
18,01/12/1987,14.38
19,01/01/1988,16.78
20,01/02/1988,18.35
21,01/03/1988,16.59
22,01/04/1988,20.25
23,01/05/1988,18.65
24,01/06/1988,20.17
25,01/07/1988,24.69
26,01/08/1988,22.63
27,01/09/1988,26.25
28,01/10/1988,29.79
29,01/11/1988,28.41
30,01/12/1988,30.24
31,01/01/1989,22.97
32,01/02/1989,18.95
33,01/03/1989,20.41
34,01/04/1989,11.52
35,01/05/1989,11.43
36,01/06/1989,27.29
37,01/07/1989,33.15
38,01/08/1989,35.49
39,01/09/1989,38.58
40,01/10/1989,47.7
41,01/11/1989,48.41
42,01/12/1989,64.21
43,01/01/1990,67.6
44,01/02/1990,82.04
45,01/03/1990,36.76
46,01/04/1990,4.23
47,01/05/1990,5.69
48,01/06/1990,8.73
49,01/07/1990,13.79
50,01/08/1990,11.53
51,01/09/1990,15.21
52,01/10/1990,16.49
53,01/11/1990,19.83
54,01/12/1990,22.86
55,01/01/1991,21.02
56,01/02/1991,6.85
57,01/03/1991,8.99
58,01/04/1991,9.67
59,01/05/1991,9.56
60,01/06/1991,10.32
61,01/07/1991,12.39
62,01/08/1991,15.75
63,01/09/1991,19.78
64,01/10/1991,25.95
65,01/11/1991,32.43
66,01/12/1991,31.17
67,01/01/1992,29.06
68,01/02/1992,28.76
69,01/03/1992,26.86
70,01/04/1992,23.92
71,01/05/1992,23.0
72,01/06/1992,24.28
73,01/07/1992,26.21
74,01/08/1992,25.65
75,01/09/1992,27.66
76,01/10/1992,28.18
77,01/11/1992,26.4
78,01/12/1992,25.92
79,01/01/1993,28.52
80,01/02/1993,28.9
81,01/03/1993,28.36
82,01/04/1993,30.53
83,01/05/1993,30.9
84,01/06/1993,31.91
85,01/07/1993,32.73
86,01/08/1993,34.64
87,01/09/1993,37.23
88,01/10/1993,38.4
89,01/11/1993,38.38
90,01/12/1993,40.38
91,01/01/1994,42.76
92,01/02/1994,41.99
93,01/03/1994,46.42
94,01/04/1994,46.49
95,01/05/1994,47.95
96,01/06/1994,50.62
97,01/07/1994,6.87
98,01/08/1994,4.17
99,01/09/1994,3.83
100,01/10/1994,3.62
101,01/11/1994,4.07
102,01/12/1994,3.8
103,01/01/1995,3.37
104,01/02/1995,3.25
105,01/03/1995,4.26
106,01/04/1995,4.26
107,01/05/1995,4.25
108,01/06/1995,4.04
109,01/07/1995,4.02
110,01/08/1995,3.84
111,01/09/1995,3.32
112,01/10/1995,3.09
113,01/11/1995,2.88
114,01/12/1995,2.78
115,01/01/1996,2.58
116,01/02/1996,2.35
117,01/03/1996,2.22
118,01/04/1996,2.07
119,01/05/1996,2.01
120,01/06/1996,1.98
121,01/07/1996,1.93
122,01/08/1996,1.97
123,01/09/1996,1.9
124,01/10/1996,1.86
125,01/11/1996,1.8
126,01/12/1996,1.8
127,01/01/1997,1.73
128,01/02/1997,1.67
129,01/03/1997,1.64
130,01/04/1997,1.66
131,01/05/1997,1.58
132,01/06/1997,1.61
133,01/07/1997,1.6
134,01/08/1997,1.59
135,01/09/1997,1.59
136,01/10/1997,1.67
137,01/11/1997,3.04
138,01/12/1997,2.97
139,01/01/1998,2.67
140,01/02/1998,2.13
141,01/03/1998,2.2
142,01/04/1998,1.71
143,01/05/1998,1.63
144,01/06/1998,1.6
145,01/07/1998,1.7
