,Unnamed: 0,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
674,674,41,male,1,own,quite rich,,2580,21,business,bad
983,983,26,male,2,own,little,little,8229,36,car,bad
31,31,27,male,2,own,little,little,4020,24,furniture/equipment,good
50,50,29,male,1,own,,moderate,2333,24,furniture/equipment,good
654,654,35,male,2,own,little,,2346,24,car,good
220,220,26,male,1,own,little,moderate,625,12,radio/TV,good
244,244,35,female,1,own,quite rich,,3447,12,education,good
475,475,26,female,2,rent,little,little,3114,18,furniture/equipment,bad
261,261,55,female,2,own,little,little,1603,24,radio/TV,good
430,430,74,male,1,own,little,,3448,5,business,good
834,834,25,female,1,own,little,rich,2327,15,radio/TV,bad
897,897,35,female,2,own,rich,,1592,12,furniture/equipment,good
36,36,31,male,2,free,little,,6110,48,education,good
942,942,31,male,2,own,,,929,24,furniture/equipment,good
260,260,27,male,2,own,little,little,1657,12,furniture/equipment,good
518,518,43,male,2,own,moderate,little,1203,6,car,good
624,624,65,male,2,free,little,little,2600,18,radio/TV,bad
506,506,36,male,2,own,quite rich,rich,2360,15,car,good
715,715,63,male,2,own,,,7596,30,car,good
551,551,45,male,1,own,quite rich,,1750,6,radio/TV,good
48,48,39,male,1,own,little,,7228,11,car,good
514,514,54,male,2,own,,,2255,24,car,good
184,184,36,male,2,own,little,moderate,884,18,car,bad
151,151,38,male,2,own,little,,1924,10,radio/TV,good
495,495,20,male,2,own,,little,2996,24,furniture/equipment,bad
252,252,24,female,2,own,little,moderate,2150,30,car,bad
87,87,47,male,2,free,moderate,moderate,12612,36,education,bad
599,599,32,male,2,free,little,,3863,24,business,good
732,732,44,female,1,own,little,moderate,760,8,radio/TV,good
55,55,26,male,1,own,,,783,6,car,good
47,47,23,female,0,rent,quite rich,little,1352,6,car,good
207,207,26,male,2,own,little,moderate,1424,12,domestic appliances,good
635,635,47,male,2,own,little,,1393,12,education,good
413,413,40,male,1,rent,quite rich,,1597,10,car,good
305,305,33,male,2,own,rich,,1543,6,furniture/equipment,good
165,165,32,male,2,own,quite rich,,2978,6,furniture/equipment,good
319,319,27,female,1,own,little,little,3643,15,furniture/equipment,good
687,687,30,male,2,free,moderate,moderate,2862,36,car,good
180,180,28,male,2,own,little,,9572,36,business,bad
993,993,30,male,3,own,little,little,3959,36,furniture/equipment,good
170,170,33,male,2,rent,little,little,950,15,car,bad
56,56,52,male,3,own,,moderate,6468,12,radio/TV,bad
721,721,24,female,2,rent,rich,moderate,433,6,education,bad
694,694,28,male,2,own,little,,2284,24,radio/TV,good
61,61,50,male,2,own,,moderate,1537,15,radio/TV,good
